1005.1655	4.416	913589	3457	100
12817.8612	11.733	36706	1487	62.2
12796.9178	11.732	52003	1482	88.6
12794.8627	11.735	77787	1492	80
12754.7383	11.732	75818	1485	60
12733.7614	11.732	175631	1486	79.1
12715.7819	11.736	198388	1501	88.1
12695.8191	11.737	12791	1504	40.9
12693.8033	11.736	341037	1498	91.1
8257.0666	0.664	30843	586	88.6
7969.5652	0.674	16009	594	60
7735.4497	0.672	33214	591	80
7447.9928	0.671	12711	590	62.8
7105.7254	0.662	8003	582	58.5
6666.1081	11.399	9875	1363	44.9
6643.1246	11.41	75729	1364	70.8
6642.1375	11.417	149104	1366	79.1
6493.8151	11.672	14349	1445	41.6
6472.8346	11.673	63514	1446	98.9
6469.8668	11.813	116588	1575	78.2
6468.8379	11.724	41601	1466	59.9
6466.8078	11.68	21641	1454	60
6449.9171	11.675	181137	1447	80
6449.8729	11.812	196102	1574	83.6
6447.9433	11.735	94420	1496	68.7
6443.8245	11.683	22436	1456	60
6426.8289	11.676	454234	1448	80
6423.8059	11.743	134732	1526	100
6422.8145	11.56	18780	1398	60.3
6422.8096	11.746	497708	1533	77.8
6411.8741	11.949	26600	1596	48.2
6410.846	11.679	426809	1453	69.6
6407.8566	11.739	186844	1516	94.6
6406.8455	11.73	47615	1477	92.9
6405.855	11.742	609913	1523	80
6404.8984	11.678	106866	1452	69.6
6400.906	11.495	23751	1382	43.5
6391.8846	11.953	25052	1598	55.4
6391.8698	11.361	12059	1353	56.9
6388.8625	11.785	1408797	1562	87
6388.8616	11.685	910477	1458	83.4
6386.8544	11.996	15272	1601	46.4
6384.8926	11.506	14356	1388	60.6
6384.8592	11.739	577680	1518	100
6384.858	11.375	27776	1362	66.1
6383.8558	11.737	2977537	1505	100
6382.9303	11.566	49405	1401	68
6379.9292	11.508	41738	1389	78.8
6378.9418	11.019	13542	1302	45.2
6377.9356	11.505	148973	1386	74.9
6373.9007	11.89	58421	1593	59.4
6369.8843	11.372	50342	1361	85.1
6366.3858	11.722	12274	1465	36.8
6364.9229	11.737	1251170	1506	80
6363.9218	11.735	2304636	1493	80
6357.4036	11.736	16061	1499	57.6
6346.9074	11.368	151120	1359	67.5
6345.9139	11.737	90102376	1502	100
6345.9069	11.361	91693	1352	61.1
6344.9762	11.736	21775536	1497	80
6297.8702	11.635	43680	1432	100
6291.8423	11.635	25452	1431	74.7
6290.8401	11.642	10826	1435	40
6289.8414	11.642	373848	1434	79.2
6277.8899	11.729	24965	1475	39.8
6276.8712	11.724	27207	1467	38.4
6274.8736	11.661	36330	1444	69.6
6273.8623	11.64	118115	1433	80
6272.8004	11.73	113088	1476	80
6252.8909	11.653	96487	1442	74.8
6251.8762	11.652	681948	1441	100
6250.8118	11.657	1076617	1443	80
6248.8192	11.738	126471	1510	60
6234.8392	11.735	36733	1494	54.6
6233.8476	11.732	218716	1481	80
6212.8598	11.494	35307	1381	62.7
6210.8696	11.733	1630221	1489	96.5
6156.6513	0.669	20112	589	41.9
6141.7555	11.796	16271	1569	77
6119.7752	11.596	15350	1410	30.1
6119.7699	11.783	428724	1559	100
6118.7749	11.781	390938	1555	86.2
6103.804	11.767	40933	1542	65.8
6102.8031	11.785	323450	1561	100
6099.8229	11.74	94201	1522	80
6083.8039	11.612	88068	1425	99.3
6080.8249	11.771	2843634	1545	100
6079.8425	11.764	2085859	1539	80
6077.7933	11.598	70562	1414	80
6062.8186	11.649	100963	1437	73.1
6055.8087	11.594	59230	1407	50.9
6054.7993	11.597	546823	1412	80
6041.8747	11.681	87109	1455	73.3
6039.8483	11.643	101276	1436	60
6039.8472	11.735	45931	1491	62.2
6039.8293	11.602	100453	1419	75.7
6038.8241	11.6	441703	1417	100
6017.857	11.468	123656	1368	73.6
6016.856	11.603	2102227	1420	96
6001.8488	11.605	35834	1422	85.2
6000.8588	11.604	150843	1421	79.1
5834.6749	11.494	10653	1380	60
5817.7084	11.489	38468	1374	69.7
5812.7037	11.491	37574	1376	79.2
5790.7162	11.493	164217	1377	80
5789.7271	11.494	445373	1379	80
