A	329.0525
C	305.0413
G	345.0474
U	306.0253
D	308.041
mG	359.0631
2mG	373.0787
mC	319.0569
mA	343.0681
Y	570.1475
T	320.041
Y'	212.0086
A+Gm	688.1156
U+Cm	625.0823
